x y z u v
5.123530 5.503328 0.000000 0.989280 -0.146028
4.969385 5.338607 0.000000 0.991066 -0.133371
4.983056 1.729196 0.000000 0.986889 -0.161398
5.039786 1.840581 0.000000 0.953998 -0.299814
0.271338 2.244878 0.000000 0.896488 -0.443069
1.029722 5.089720 0.000000 0.998879 -0.047344
1.314642 4.806071 0.000000 0.999894 -0.014572
4.041825 0.962290 0.000000 0.999848 0.017428
3.977827 1.041641 0.000000 0.999895 0.014503
1.403022 0.688891 0.000000 0.999152 0.041180
1.219859 0.888426 0.000000 0.999414 0.034218
6.937238 0.706414 0.000000 0.919569 0.392929
7.106365 0.728968 0.000000 0.995376 0.096055
6.674544 1.129592 0.000000 0.949614 0.313421
6.598817 0.906550 0.000000 0.917345 0.398093
3.658491 4.905468 0.000000 0.999506 0.031429
3.839820 5.260138 0.000000 0.999646 -0.026607
7.256962 5.162466 0.000000 0.967019 -0.254703
7.613209 5.033632 0.000000 0.985278 0.170959
4.267626 4.029118 0.000000 0.999965 0.008361
4.182202 4.137159 0.000000 0.999971 0.007581
1.565274 0.355487 0.000000 0.999836 0.018106
1.101320 0.390530 0.000000 0.999300 0.037408
3.167111 4.492912 0.000000 0.999543 -0.030227
3.391900 4.517515 0.000000 0.999775 0.021217
5.584544 5.743024 0.000000 0.986938 -0.161101
5.614069 5.873498 0.000000 0.994144 -0.108065
7.041838 1.243536 0.000000 0.824524 0.565827
3.992938 1.748333 0.000000 0.999995 0.003125
4.345861 1.961692 0.000000 0.940081 -0.340950
8.518249 3.304356 0.000000 0.701657 0.712514
8.602806 3.082958 0.000000 0.835857 -0.548947
0.924077 5.618606 0.000000 0.999394 -0.034811
1.129005 5.622436 0.000000 0.999580 -0.028973
1.603219 1.442950 0.000000 0.992826 -0.119569
1.889009 1.576403 0.000000 0.972095 -0.234587
5.820208 0.270265 0.000000 0.988745 0.149607
5.756333 0.053646 0.000000 0.990926 0.134405
8.606987 3.159065 0.000000 0.909802 -0.415042
8.699629 3.424471 0.000000 0.532030 -0.846725
8.184909 1.765753 0.000000 0.935400 0.353590
8.023176 1.444985 0.000000 0.976510 0.215473
0.424011 5.943779 0.000000 0.999163 -0.040901
0.313463 5.858722 0.000000 0.999350 -0.036056
4.218750 0.111026 0.000000 0.999919 0.012719
4.078125 0.052467 0.000000 0.999912 0.013291
4.812699 5.159277 0.000000 0.996206 -0.087023
4.929211 5.135960 0.000000 0.993706 -0.112017
4.868894 5.913072 0.000000 0.997786 -0.066513
4.795730 5.616717 0.000000 0.994733 -0.102499
4.796885 5.848259 0.000000 0.998096 -0.061676
7.769660 5.484677 0.000000 0.996009 0.089247
8.121712 5.364429 0.000000 0.992245 0.124300
0.320964 4.698690 0.000000 0.999835 0.018145
0.414300 4.911500 0.000000 1.000000 -0.000898
0.083403 0.823914 0.000000 0.998425 0.056103
0.559136 1.149986 0.000000 0.999964 0.008452
4.247888 3.633402 0.000000 0.707711 -0.706502
4.134813 3.864652 0.000000 0.576401 -0.817167
6.433027 5.764130 0.000000 1.000000 0.000248
6.277014 5.564249 0.000000 0.953554 -0.301223
6.792290 5.851311 0.000000 0.984637 0.174614
6.890625 5.949185 0.000000 0.999647 -0.026568
7.174838 5.734692 0.000000 0.999566 0.029461
